context_uid,pdf_name,language,pages,paragraphs,table_rows,table_columns,questions
bcbd7783-86ad-430d-aa96-48808bb0426c,bcbd7783-86ad-430d-aa96-48808bb0426c.pdf,english,2,20,6,5,6
4145912c-86dc-434b-8990-1cfe78f298f5,4145912c-86dc-434b-8990-1cfe78f298f5.pdf,english,1,4,7,3,6
82dca6c3-9259-4be6-9c9f-fc74aa6c81f7,82dca6c3-9259-4be6-9c9f-fc74aa6c81f7.pdf,english,1,6,6,4,6
a9ddf64a-2806-4476-b341-05d7d06fdcf6,a9ddf64a-2806-4476-b341-05d7d06fdcf6.pdf,english,1,4,14,4,6
361835e5-b8ba-49c5-9ebb-ce0aa5eca2bf,361835e5-b8ba-49c5-9ebb-ce0aa5eca2bf.pdf,english,1,9,6,4,6
a3aadeea-1c1a-4449-9244-d5e8e1d7f277,a3aadeea-1c1a-4449-9244-d5e8e1d7f277.pdf,english,1,2,13,4,6
8ba4089b-a3d7-403b-860a-40a9cbdf3d8c,8ba4089b-a3d7-403b-860a-40a9cbdf3d8c.pdf,english,1,2,6,3,6
75c4ce3e-859b-4c3c-8443-6b8b3a70724f,75c4ce3e-859b-4c3c-8443-6b8b3a70724f.pdf,english,1,5,13,4,6
e8a14965-257d-4945-9f13-d0e2e84d9ff8,e8a14965-257d-4945-9f13-d0e2e84d9ff8.pdf,english,1,6,5,3,6
d873a0cf-2e57-46f3-b9a5-2596808ffa00,d873a0cf-2e57-46f3-b9a5-2596808ffa00.pdf,english,1,7,7,3,6
d7d65228-96c1-4890-951c-c3d7578f8031,d7d65228-96c1-4890-951c-c3d7578f8031.pdf,english,1,2,5,5,6
9989ca79-5332-47be-a08e-85f2648cdde7,9989ca79-5332-47be-a08e-85f2648cdde7.pdf,english,1,7,19,4,6
d8568399-5323-490a-9ea9-90968abca2f4,d8568399-5323-490a-9ea9-90968abca2f4.pdf,english,2,24,9,6,6
c29582f8-d95d-480c-8daf-320273546471,c29582f8-d95d-480c-8daf-320273546471.pdf,english,1,5,5,6,6
47fb3538-2c0a-4a82-97b2-90a1543b871d,47fb3538-2c0a-4a82-97b2-90a1543b871d.pdf,english,1,3,8,5,6
e71199c7-f1f7-462e-af00-a1a97247320f,e71199c7-f1f7-462e-af00-a1a97247320f.pdf,english,1,2,5,3,6
d476a981-e201-4b5f-9e39-a7b941bfac18,d476a981-e201-4b5f-9e39-a7b941bfac18.pdf,english,1,2,27,3,6
e6e7a1b1-07ba-4347-83df-8137dd88fd81,e6e7a1b1-07ba-4347-83df-8137dd88fd81.pdf,english,1,5,11,4,6
65264b50-696b-4a33-ab5b-16210448870f,65264b50-696b-4a33-ab5b-16210448870f.pdf,english,1,6,14,7,6
c957de22-1cb4-4d10-be39-12a631ec2d0c,c957de22-1cb4-4d10-be39-12a631ec2d0c.pdf,english,1,3,8,4,6
bd57880a-3395-45a5-83b1-8adc4483d4bd,bd57880a-3395-45a5-83b1-8adc4483d4bd.pdf,english,1,4,6,4,6
d58cd518-2123-4c6b-ab97-dc7b0a1896a2,d58cd518-2123-4c6b-ab97-dc7b0a1896a2.pdf,english,1,3,4,4,6
1e513178-a4f6-4446-90b1-8c379ac22f49,1e513178-a4f6-4446-90b1-8c379ac22f49.pdf,english,1,4,5,6,6
2f655c5a-3936-48e6-aa15-4145a5c12c3f,2f655c5a-3936-48e6-aa15-4145a5c12c3f.pdf,english,1,4,22,3,6
4e94f70f-b7e3-453e-ae92-846768589e75,4e94f70f-b7e3-453e-ae92-846768589e75.pdf,english,1,5,11,5,6
ed9804d6-e583-47eb-a945-82fc6343541e,ed9804d6-e583-47eb-a945-82fc6343541e.pdf,english,1,5,14,4,6
1c48b8a3-6132-49e3-b966-e8f6198a8724,1c48b8a3-6132-49e3-b966-e8f6198a8724.pdf,english,1,2,11,3,6
34f239a7-17d1-4f11-8267-adc13f486668,34f239a7-17d1-4f11-8267-adc13f486668.pdf,english,1,5,12,3,6
1b2ca134-09ae-4936-bc3d-453699823f6e,1b2ca134-09ae-4936-bc3d-453699823f6e.pdf,english,1,8,6,3,6
97b55a6f-ce8f-49de-b53a-8a523ab47835,97b55a6f-ce8f-49de-b53a-8a523ab47835.pdf,english,1,3,11,4,6
6abeb5d3-0dfa-497f-a7db-bda257756a99,6abeb5d3-0dfa-497f-a7db-bda257756a99.pdf,english,1,3,5,3,6
da44d518-c39a-4673-9298-31feeafc61e4,da44d518-c39a-4673-9298-31feeafc61e4.pdf,english,1,4,9,3,6
ceb7f8c7-91ee-4244-ba35-93c4e30271bb,ceb7f8c7-91ee-4244-ba35-93c4e30271bb.pdf,english,1,5,12,3,6
8b43d33f-3ad3-489a-b5b1-51fa95808128,8b43d33f-3ad3-489a-b5b1-51fa95808128.pdf,english,1,2,12,5,6
daf81839-002f-40c2-8067-b4ad7eaf1517,daf81839-002f-40c2-8067-b4ad7eaf1517.pdf,english,2,13,9,6,6
65cde743-18a6-418f-8f5a-000660a38cdf,65cde743-18a6-418f-8f5a-000660a38cdf.pdf,english,1,3,12,3,6
5677fbce-7bb4-4f39-be85-a9ce618698c6,5677fbce-7bb4-4f39-be85-a9ce618698c6.pdf,english,1,5,6,5,6
15348b2f-52e0-498d-b0ea-b73ae40815b3,15348b2f-52e0-498d-b0ea-b73ae40815b3.pdf,english,1,8,6,4,6
2d43502e-4c4a-4334-954c-25502374d317,2d43502e-4c4a-4334-954c-25502374d317.pdf,english,1,2,10,3,6
dace18a6-701f-49d4-a16d-078e5b62fc94,dace18a6-701f-49d4-a16d-078e5b62fc94.pdf,english,1,3,14,3,6
a7a7ede0-4575-4ace-8d5b-371db74ef3c1,a7a7ede0-4575-4ace-8d5b-371db74ef3c1.pdf,english,1,2,7,3,6
64587c9c-afc2-45a9-8f47-df5dd18bd913,64587c9c-afc2-45a9-8f47-df5dd18bd913.pdf,english,1,4,9,3,6
914fca09-058a-4409-85c0-7e399c857d4d,914fca09-058a-4409-85c0-7e399c857d4d.pdf,english,1,2,11,3,6
53eec737-630e-4915-afbb-8c20cdd01263,53eec737-630e-4915-afbb-8c20cdd01263.pdf,english,2,5,23,3,6
1aa69af8-7349-44da-a558-09e5d5fb73c5,1aa69af8-7349-44da-a558-09e5d5fb73c5.pdf,english,1,5,16,3,6
62425e9b-b7de-4d31-9565-1042ad9e4926,62425e9b-b7de-4d31-9565-1042ad9e4926.pdf,english,1,4,18,4,6
428d5e87-612b-468c-80f3-5b5298d589c8,428d5e87-612b-468c-80f3-5b5298d589c8.pdf,english,1,4,5,8,6
a961dd41-e5cb-40ce-876d-7c2f2c7dae96,a961dd41-e5cb-40ce-876d-7c2f2c7dae96.pdf,english,1,5,12,4,6
b4fefe60-e68c-4ba3-a8f9-35395b7ea0a5,b4fefe60-e68c-4ba3-a8f9-35395b7ea0a5.pdf,english,1,4,6,3,6
6d9e104c-a89c-4d15-bacf-47c19d8d6445,6d9e104c-a89c-4d15-bacf-47c19d8d6445.pdf,english,1,5,9,3,6
b224a7d4-b81c-400d-b4ed-4d7473dd85cc,b224a7d4-b81c-400d-b4ed-4d7473dd85cc.pdf,english,1,7,7,3,6
54c494f7-d731-49bf-b9cd-d494aea72e34,54c494f7-d731-49bf-b9cd-d494aea72e34.pdf,english,1,3,20,4,6
a86d227e-37d3-446b-8d4a-793aff901edc,a86d227e-37d3-446b-8d4a-793aff901edc.pdf,english,2,16,18,3,6
f5cab3e6-1f49-4434-b9a2-5e97073b985b,f5cab3e6-1f49-4434-b9a2-5e97073b985b.pdf,english,1,2,11,3,6
41481127-0df1-490c-b7e4-bdd902d38a59,41481127-0df1-490c-b7e4-bdd902d38a59.pdf,english,1,3,5,3,6
ece5c810-9758-4fd8-ac97-21c1f75dd306,ece5c810-9758-4fd8-ac97-21c1f75dd306.pdf,english,1,4,4,3,6
502dd70a-926b-49d7-b236-63855c98e740,502dd70a-926b-49d7-b236-63855c98e740.pdf,english,1,5,9,4,6
9afaa852-4103-4782-9109-34104931dbc1,9afaa852-4103-4782-9109-34104931dbc1.pdf,english,1,4,27,3,6
e6c3cb87-13e2-49c8-81dc-d913b2071499,e6c3cb87-13e2-49c8-81dc-d913b2071499.pdf,english,1,9,10,3,6
e8877535-8ade-4ba3-aae2-cd4db2b5c59c,e8877535-8ade-4ba3-aae2-cd4db2b5c59c.pdf,english,1,4,8,5,6
8edfdb1c-3d22-496f-b6ba-f3ea45cf6151,8edfdb1c-3d22-496f-b6ba-f3ea45cf6151.pdf,english,1,9,7,3,6
93f11a3d-ce9f-4b07-8d9e-0b876b2cbc30,93f11a3d-ce9f-4b07-8d9e-0b876b2cbc30.pdf,english,1,8,13,3,6
b24ee687-2712-4f16-9bc9-0f3f3636e407,b24ee687-2712-4f16-9bc9-0f3f3636e407.pdf,english,1,6,8,4,6
0a75d1da-9beb-4a61-b2f4-06cff98b755e,0a75d1da-9beb-4a61-b2f4-06cff98b755e.pdf,english,2,6,26,4,6
d4f5a342-4efd-42fd-aa11-7e762d1e3f8f,d4f5a342-4efd-42fd-aa11-7e762d1e3f8f.pdf,english,1,2,6,3,6
d7a538e8-655c-4a25-96a1-cff8b7c1b039,d7a538e8-655c-4a25-96a1-cff8b7c1b039.pdf,english,1,3,7,3,6
073a0021-1564-4fe2-8759-73b15dd69ea1,073a0021-1564-4fe2-8759-73b15dd69ea1.pdf,english,1,4,16,6,6
4dddba76-8925-4f79-9d9c-749341fcc978,4dddba76-8925-4f79-9d9c-749341fcc978.pdf,english,1,5,7,4,6
ce047259-a834-4e5b-aadb-987e10b3c922,ce047259-a834-4e5b-aadb-987e10b3c922.pdf,english,1,7,6,4,6
af31958a-184d-4005-9fcb-cfad9912ba8c,af31958a-184d-4005-9fcb-cfad9912ba8c.pdf,english,1,2,7,4,6
56506759-74a2-4c23-bb16-263af3227c1c,56506759-74a2-4c23-bb16-263af3227c1c.pdf,english,1,2,6,3,6
3789d7da-dc3e-4cd7-b639-d6805211405a,3789d7da-dc3e-4cd7-b639-d6805211405a.pdf,english,1,4,7,5,6
8dcb30f6-a302-4704-b665-a82ee828a3d6,8dcb30f6-a302-4704-b665-a82ee828a3d6.pdf,english,1,5,7,4,6
82aee0df-7345-4452-afdf-a23a280d64ae,82aee0df-7345-4452-afdf-a23a280d64ae.pdf,english,1,7,6,4,6
fd7e14ed-efb6-4992-bdc2-b5603d91f126,fd7e14ed-efb6-4992-bdc2-b5603d91f126.pdf,english,1,4,18,3,6
875fa4bd-a56d-4f03-bd52-4ecddf547686,875fa4bd-a56d-4f03-bd52-4ecddf547686.pdf,english,1,2,8,4,6
e5fc54e8-4656-4277-a0a8-db9a938aca3d,e5fc54e8-4656-4277-a0a8-db9a938aca3d.pdf,english,1,2,12,5,6
39fda147-0e87-41e1-a4d5-0e71abbadf16,39fda147-0e87-41e1-a4d5-0e71abbadf16.pdf,english,1,3,5,5,6
00addb09-bf31-4240-a351-bc4480a3cecc,00addb09-bf31-4240-a351-bc4480a3cecc.pdf,english,1,8,12,5,6
ec3603ca-033e-4f41-a246-a19866d8f84d,ec3603ca-033e-4f41-a246-a19866d8f84d.pdf,english,1,8,10,4,6
d4d2731b-3a60-4569-8dc2-005e525c4de8,d4d2731b-3a60-4569-8dc2-005e525c4de8.pdf,english,1,2,5,4,6
79a8ddc2-5848-4471-ad53-c3c70e4ec0c4,79a8ddc2-5848-4471-ad53-c3c70e4ec0c4.pdf,english,1,2,4,5,6
b42dd0bb-f4fd-4a6a-b379-2faa5113ffa8,b42dd0bb-f4fd-4a6a-b379-2faa5113ffa8.pdf,english,1,3,15,4,6
07157d5d-3285-45d0-9f62-26aa4108e35f,07157d5d-3285-45d0-9f62-26aa4108e35f.pdf,english,1,5,16,4,6
47aef271-dde3-4cf2-9d0e-4c10f66959e9,47aef271-dde3-4cf2-9d0e-4c10f66959e9.pdf,english,1,5,6,5,6
26d46b77-411e-47aa-b650-5c84ef3e9e21,26d46b77-411e-47aa-b650-5c84ef3e9e21.pdf,english,1,4,8,3,6
e573a09b-3053-4c6e-9766-3cce1d2c087d,e573a09b-3053-4c6e-9766-3cce1d2c087d.pdf,english,1,7,4,3,6
02a7787e-92f9-4a5a-9f95-c4c9ed0f7eff,02a7787e-92f9-4a5a-9f95-c4c9ed0f7eff.pdf,english,1,7,5,4,6
cf49db0f-608a-4ef4-a248-d73c6030df4b,cf49db0f-608a-4ef4-a248-d73c6030df4b.pdf,english,1,3,14,3,6
7d228e82-671c-4b83-aad1-405493c0aa0c,7d228e82-671c-4b83-aad1-405493c0aa0c.pdf,english,1,3,10,3,6
db62468f-cfd5-4b89-b2b0-eb9d1a78a31e,db62468f-cfd5-4b89-b2b0-eb9d1a78a31e.pdf,english,1,6,5,4,6
78b73a25-9328-4177-8f82-0da14f052461,78b73a25-9328-4177-8f82-0da14f052461.pdf,english,1,4,5,3,6
a190aaec-d9e9-4555-a64b-e833f1db0843,a190aaec-d9e9-4555-a64b-e833f1db0843.pdf,english,1,3,10,3,6
5e60c056-5073-441d-8525-7f834deb5c64,5e60c056-5073-441d-8525-7f834deb5c64.pdf,english,1,8,4,3,6
b6fa85a0-a203-4ed3-8c4d-6c1b5a8b08c1,b6fa85a0-a203-4ed3-8c4d-6c1b5a8b08c1.pdf,english,1,3,9,4,6
577a9bb6-6158-41aa-b2ec-1a3dd5cdfa06,577a9bb6-6158-41aa-b2ec-1a3dd5cdfa06.pdf,english,1,9,8,4,6
b89656a2-196d-42d3-98bf-f58d51aedbb4,b89656a2-196d-42d3-98bf-f58d51aedbb4.pdf,english,1,4,7,4,6
aea0cfae-19e9-4aec-a577-de0230696ce0,aea0cfae-19e9-4aec-a577-de0230696ce0.pdf,english,1,7,6,3,6
1fc1784c-38a0-49a2-a985-8c8a479f5f66,1fc1784c-38a0-49a2-a985-8c8a479f5f66.pdf,english,1,2,6,5,6
37fc1d68-ab05-4913-8fe6-4cbaafdc39cf,37fc1d68-ab05-4913-8fe6-4cbaafdc39cf.pdf,english,1,2,5,5,6
2e0e3d40-9bb4-4c64-9f0b-32197d205e4b,2e0e3d40-9bb4-4c64-9f0b-32197d205e4b.pdf,english,1,2,5,3,6
80e4cf21-5ead-4d13-98e7-0d57b30f8617,80e4cf21-5ead-4d13-98e7-0d57b30f8617.pdf,english,1,2,7,3,6
75ab135a-beab-4a3e-ae96-356cd0dd0b59,75ab135a-beab-4a3e-ae96-356cd0dd0b59.pdf,english,2,5,26,5,6
7fa11b39-7af2-408b-9ee2-03479d6f6ffe,7fa11b39-7af2-408b-9ee2-03479d6f6ffe.pdf,english,1,2,7,4,6
89cf13a2-6d08-48be-a45d-2346422d5c38,89cf13a2-6d08-48be-a45d-2346422d5c38.pdf,english,1,3,7,4,6
6aa15859-a841-47eb-ad04-a441599cf05c,6aa15859-a841-47eb-ad04-a441599cf05c.pdf,english,1,4,15,3,6
879fb3ae-fc64-49f1-8a85-5756ff4ee3b6,879fb3ae-fc64-49f1-8a85-5756ff4ee3b6.pdf,english,1,6,7,4,6
ef1f83ac-45f8-4d92-b577-390b4d8d9473,ef1f83ac-45f8-4d92-b577-390b4d8d9473.pdf,english,1,4,4,4,6
ae44e24d-3fb5-4eff-95e1-ec8fc530c1d7,ae44e24d-3fb5-4eff-95e1-ec8fc530c1d7.pdf,english,1,3,7,3,6
0fe00fcf-5d01-45b8-be3b-cc7faa0ddf08,0fe00fcf-5d01-45b8-be3b-cc7faa0ddf08.pdf,english,1,3,5,4,6
001e29d7-77e9-4434-9a3d-f72ef640fa79,001e29d7-77e9-4434-9a3d-f72ef640fa79.pdf,english,1,3,5,4,6
0027cf6e-f6e8-4d8b-b4ee-0b9f9aeb1f54,0027cf6e-f6e8-4d8b-b4ee-0b9f9aeb1f54.pdf,english,1,5,14,4,6
f50c6b84-25c9-418a-aba1-6cd025b904e3,f50c6b84-25c9-418a-aba1-6cd025b904e3.pdf,english,2,26,6,4,6
4c2f88e1-b5d4-4565-a98a-04f56127e4af,4c2f88e1-b5d4-4565-a98a-04f56127e4af.pdf,english,1,4,10,4,6
ff281ea5-25cf-4e1d-b7f5-f0dc51a40f25,ff281ea5-25cf-4e1d-b7f5-f0dc51a40f25.pdf,english,1,3,7,3,6
05b0f8ce-bea5-402b-b9e5-8455c9b16e99,05b0f8ce-bea5-402b-b9e5-8455c9b16e99.pdf,english,1,3,6,5,6
6455b0fa-9637-4d36-95d6-2890c7728f54,6455b0fa-9637-4d36-95d6-2890c7728f54.pdf,english,1,6,9,4,6
cca95e4f-c7f7-4ded-92e0-3371290f1374,cca95e4f-c7f7-4ded-92e0-3371290f1374.pdf,english,1,3,9,4,6
1b94b114-fcbe-480d-933c-c35d4d004249,1b94b114-fcbe-480d-933c-c35d4d004249.pdf,english,1,11,8,3,6
6ea63cce-37b7-4210-b446-952afde67eb5,6ea63cce-37b7-4210-b446-952afde67eb5.pdf,english,1,4,6,3,6
b1b21d4c-7dac-4205-96bf-6b088fc3b724,b1b21d4c-7dac-4205-96bf-6b088fc3b724.pdf,english,1,4,9,5,6
d0810768-44f6-454b-b29c-5816dcad0158,d0810768-44f6-454b-b29c-5816dcad0158.pdf,english,1,2,6,3,6
f6dd98fe-96f6-48c9-b952-d7d8a5914f5f,f6dd98fe-96f6-48c9-b952-d7d8a5914f5f.pdf,english,1,3,16,3,6
239347c1-faf9-4fb1-a167-d3c83fd0dead,239347c1-faf9-4fb1-a167-d3c83fd0dead.pdf,english,1,3,15,4,6
d423c6ef-50f3-4535-a74f-13cb46728627,d423c6ef-50f3-4535-a74f-13cb46728627.pdf,english,1,9,19,3,6
4bf2b6c8-e1f4-4d67-8008-c2ebcf478ed4,4bf2b6c8-e1f4-4d67-8008-c2ebcf478ed4.pdf,english,2,14,8,3,6
fb333978-9a21-401f-9660-ccdff2e36d02,fb333978-9a21-401f-9660-ccdff2e36d02.pdf,english,1,2,7,4,6
fa0d7378-4217-44f1-bfb0-38688f03bdf3,fa0d7378-4217-44f1-bfb0-38688f03bdf3.pdf,english,1,3,6,3,6
921148c5-ea09-4de1-aefb-8ec85702982b,921148c5-ea09-4de1-aefb-8ec85702982b.pdf,english,1,10,7,5,6
e598e43e-f2b3-4d9f-8de1-78ddead7f85b,e598e43e-f2b3-4d9f-8de1-78ddead7f85b.pdf,english,1,5,17,3,6
88f5faa2-dd5b-48bb-8b53-8edd6714f894,88f5faa2-dd5b-48bb-8b53-8edd6714f894.pdf,english,1,3,5,5,6
2cf767c9-a0f8-4d78-b6f2-71221f566c2f,2cf767c9-a0f8-4d78-b6f2-71221f566c2f.pdf,english,1,2,11,4,6
139e8d2d-0a3a-4ed1-80a7-f7614b1518b7,139e8d2d-0a3a-4ed1-80a7-f7614b1518b7.pdf,english,1,3,11,3,6
7a032500-db5c-44f3-b95b-160463f97f5d,7a032500-db5c-44f3-b95b-160463f97f5d.pdf,english,1,3,5,4,6
329e3ff5-0cff-4849-8fd0-9b1e5606f6ca,329e3ff5-0cff-4849-8fd0-9b1e5606f6ca.pdf,english,1,2,11,4,6
a5fb7f90-4f37-460a-886e-13195f501f1b,a5fb7f90-4f37-460a-886e-13195f501f1b.pdf,english,1,5,5,4,6
cac80246-6de4-4c07-a884-ab40ec4cbb72,cac80246-6de4-4c07-a884-ab40ec4cbb72.pdf,english,1,3,8,5,6
fd28a5b6-ecac-4f54-987d-e6a4b1e63bb6,fd28a5b6-ecac-4f54-987d-e6a4b1e63bb6.pdf,english,1,5,6,3,6
9791f353-ce82-41be-a93d-915b8f52677b,9791f353-ce82-41be-a93d-915b8f52677b.pdf,english,2,8,8,4,6
561569ae-db50-4eb5-8d0a-5a80bd1be46c,561569ae-db50-4eb5-8d0a-5a80bd1be46c.pdf,english,1,2,17,3,6
8b2c7a63-0dc5-4a6f-83f1-6f9b27a8016c,8b2c7a63-0dc5-4a6f-83f1-6f9b27a8016c.pdf,english,1,2,15,3,6
1f631856-89ba-471a-b65d-86801ec07401,1f631856-89ba-471a-b65d-86801ec07401.pdf,english,1,4,6,3,6
ee5ecf56-5866-45e3-8fb3-adbb99a9ba3e,ee5ecf56-5866-45e3-8fb3-adbb99a9ba3e.pdf,english,1,7,10,5,6
b9871425-cbf5-4b6c-b1d3-6931727226a1,b9871425-cbf5-4b6c-b1d3-6931727226a1.pdf,english,1,4,15,5,6
890a7843-a38b-4bc7-aaac-745276b2ce67,890a7843-a38b-4bc7-aaac-745276b2ce67.pdf,english,1,2,9,3,6
467f55db-152c-4219-97c6-5765f1ead0d9,467f55db-152c-4219-97c6-5765f1ead0d9.pdf,english,1,4,7,3,6
46466da8-bb43-453f-aa9b-f2230b663864,46466da8-bb43-453f-aa9b-f2230b663864.pdf,english,1,2,21,3,6
424c1a41-765a-42f7-8236-2abd5b9bcf2f,424c1a41-765a-42f7-8236-2abd5b9bcf2f.pdf,english,1,2,6,4,6
704b5994-6fee-43b2-a9c9-e5676eac92a1,704b5994-6fee-43b2-a9c9-e5676eac92a1.pdf,english,1,6,17,3,6
1cacb8a3-8587-4ff4-aadb-814352f5c0ff,1cacb8a3-8587-4ff4-aadb-814352f5c0ff.pdf,english,1,4,12,3,6
f84f55c4-6ede-4bb6-9c24-49956f6e232a,f84f55c4-6ede-4bb6-9c24-49956f6e232a.pdf,english,1,6,8,4,6
ed99123e-63a3-4238-addd-9c692afe3a05,ed99123e-63a3-4238-addd-9c692afe3a05.pdf,english,2,11,22,6,6
2bc7fad1-056b-4298-bfca-5a33c970b1a0,2bc7fad1-056b-4298-bfca-5a33c970b1a0.pdf,english,1,2,24,3,6
f824a6f0-d7fe-43ae-9455-59aaa0854aa3,f824a6f0-d7fe-43ae-9455-59aaa0854aa3.pdf,english,1,3,7,4,6
3d7f346b-50b7-4251-9e99-8e538c8b01b6,3d7f346b-50b7-4251-9e99-8e538c8b01b6.pdf,english,1,8,6,4,6
736d8572-272b-4cab-8062-9012ec6e7fe9,736d8572-272b-4cab-8062-9012ec6e7fe9.pdf,english,1,2,5,6,6
808ccf05-6f40-43d5-a71f-154ed45ce499,808ccf05-6f40-43d5-a71f-154ed45ce499.pdf,english,1,7,5,4,6
5b874c83-80f7-48d2-bdac-166f2c778e37,5b874c83-80f7-48d2-bdac-166f2c778e37.pdf,english,1,3,6,3,6
fe20d447-868a-42f1-8073-843cb3a1e3e8,fe20d447-868a-42f1-8073-843cb3a1e3e8.pdf,english,1,3,6,4,6
736f65a8-7b6b-47bc-8c6a-3a2d641695bc,736f65a8-7b6b-47bc-8c6a-3a2d641695bc.pdf,english,1,9,6,6,6
d8d5f6c9-b21f-45dc-9cd2-acd8450d46ed,d8d5f6c9-b21f-45dc-9cd2-acd8450d46ed.pdf,english,1,3,8,4,6
1ccf32ea-826a-4ea7-9a9d-f8bd33917e14,1ccf32ea-826a-4ea7-9a9d-f8bd33917e14.pdf,english,1,2,9,3,6
44c7c9ef-bb9f-45c9-9ee5-e2bf465c3617,44c7c9ef-bb9f-45c9-9ee5-e2bf465c3617.pdf,english,1,2,10,3,6
dd5eac5a-de74-4ed4-b959-e6ad134e646b,dd5eac5a-de74-4ed4-b959-e6ad134e646b.pdf,english,1,9,14,3,6
1ca5293d-2ea9-4a14-88a1-641795d7e142,1ca5293d-2ea9-4a14-88a1-641795d7e142.pdf,english,1,2,8,3,6
a1b421df-b5fd-46b4-b7b7-233fcf148aa3,a1b421df-b5fd-46b4-b7b7-233fcf148aa3.pdf,english,1,15,4,4,6
88097457-b056-45fb-bb8d-9106df18df0d,88097457-b056-45fb-bb8d-9106df18df0d.pdf,english,1,4,6,4,6
